input;target
Sunday 17 Jun 1866;17-06-1866
Thursday, 28 Aug. 1958;28-08-1958
Thursday, 1985/01/17;17-01-1985
1937 03 24;24-03-1937
Saturday, 1831 April 09;09-04-1831
Thursday 21 October 1971;21-10-1971
Fri 1924 Sep. 26;26-09-1924
13-02-1831;13-02-1831
Wed 1880/10/27;27-10-1880
Thu 09/07/1953;09-07-1953
Tuesday, 23 February 1909;23-02-1909
Monday 1910 Jun 06;06-06-1910
Saturday 09-02-1957;09-02-1957
Friday 08-12-1837;08-12-1837
Thursday, 13.06.1907;13-06-1907
Sat 07 May. 1864;07-05-1864
Monday 25-06-1838;25-06-1838
10 Feb. 1803;10-02-1803
Tue 21 Aug. 1804;21-08-1804
Wednesday, 1852 12 08;08-12-1852
Wednesday 1997/01/01;01-01-1997
Mon. 10 Feb. 1873;10-02-1873
Sunday 1872/08/11;11-08-1872
Monday 1890-12-22;22-12-1890
Saturday 25 Jul 1959;25-07-1959
Fri. 1906 11 23;23-11-1906
Mon. 14-03-1955;14-03-1955
Saturday, 1841.01.30;30-01-1841
Sunday 1956 August 12;12-08-1956
Thursday 19 January 2012;19-01-2012
06-08-1830;06-08-1830
Sat. 08/03/2025;08-03-2025
Wed. 15 Jan 1840;15-01-1840
1911/01/17;17-01-1911
Thu. 1849 Nov 01;01-11-1849
Sun 1925.05.17;17-05-1925
2006/06/08;08-06-2006
Wed. 01.03.1843;01-03-1843
Tue. 1806 12 09;09-12-1806
Thu. 17 July 1947;17-07-1947
Sunday, 1875.12.05;05-12-1875
Monday 1927/02/07;07-02-1927
Thu. 27 10 1864;27-10-1864
1949.10.04;04-10-1949
Wednesday, 1927 December 21;21-12-1927
24 December 1956;24-12-1956
Wed. 25 Feb 2043;25-02-2043
Wednesday 29 Oct. 1913;29-10-1913
Thursday, 25-01-2018;25-01-2018
Mon 09.09.1872;09-09-1872
Mon 1846 November 23;23-11-1846
Thu 08 October 2026;08-10-2026
1908/06/25;25-06-1908
Friday, 06/06/1823;06-06-1823
Thursday, 25-05-1826;25-05-1826
18 09 2044;18-09-2044
Tue. 1819-03-02;02-03-1819
Saturday, 19 10 1878;19-10-1878
Tue. 09/08/1949;09-08-1949
Tue. 13 12 1988;13-12-1988
Wednesday, 12 Jun. 1991;12-06-1991
Wed. 1965-12-08;08-12-1965
Sunday, 1806-09-07;07-09-1806
05.11.2026;05-11-2026
Thu. 08-12-1921;08-12-1921
20 June 1992;20-06-1992
Monday 1883.12.24;24-12-1883
17 Oct. 1985;17-10-1985
Thu. 2042-07-03;03-07-2042
08 01 1864;08-01-1864
Wednesday, 28/12/1859;28-12-1859
1845 Dec. 30;30-12-1845
Wednesday, 2039 08 24;24-08-2039
1983 April 06;06-04-1983
Sun 1845-11-23;23-11-1845
Thu 31 Jul 1969;31-07-1969
Sun 08 03 1807;08-03-1807
Sun 1853 October 09;09-10-1853
Saturday, 1809-11-25;25-11-1809
Mon. 1927 Nov 21;21-11-1927
Thursday, 22/06/2045;22-06-2045
Fri. 1852-12-24;24-12-1852
Sat. 08-10-1921;08-10-1921
Wed. 1944 Oct 18;18-10-1944
Tue. 05 Apr. 1994;05-04-1994
Tue. 1947.10.14;14-10-1947
2022 Jul 05;05-07-2022
18 01 1986;18-01-1986
Fri 2034 Dec. 29;29-12-2034
Saturday 30 Oct. 1824;30-10-1824
Saturday, 20 02 1993;20-02-1993
Sat 1916 12 30;30-12-1916
07/01/1807;07-01-1807
1988 Nov 27;27-11-1988
Mon. 1956.09.03;03-09-1956
Monday 13 Jan. 1986;13-01-1986
Wednesday 1805-10-23;23-10-1805
Sunday, 1804.05.06;06-05-1804
Sun 10 03 2030;10-03-2030
Tue. 1984 05 29;29-05-1984
Sunday, 16 Jan 1944;16-01-1944
Sat 1966-06-18;18-06-1966
Tuesday 1898 07 05;05-07-1898
09.01.1938;09-01-1938
Friday, 29.07.1836;29-07-1836
Sunday, 25 Sep. 1808;25-09-1808
Fri 25-09-1835;25-09-1835
Sat. 1835 Jul 04;04-07-1835
Sunday, 1918.03.31;31-03-1918
02 May 1999;02-05-1999
Fri 1990 Dec 21;21-12-1990
Thu. 19 Sep. 1816;19-09-1816
Fri. 06/02/2009;06-02-2009
Tuesday 08.10.1889;08-10-1889
13 Feb 1995;13-02-1995
Thursday 2013-09-05;05-09-2013
24 July 1875;24-07-1875
Saturday, 1890-06-21;21-06-1890
Tuesday, 24.09.1811;24-09-1811
Saturday 14 Mar. 1885;14-03-1885
Tue. 25-08-2015;25-08-2015
Sat 20 01 2024;20-01-2024
06 04 1963;06-04-1963
Sun 2015 08 23;23-08-2015
Sunday, 21 Feb 1897;21-02-1897
Saturday, 19 Sep. 1874;19-09-1874
Fri. 03-04-1903;03-04-1903
24 Feb. 1872;24-02-1872
Thu. 04 November 1880;04-11-1880
Sunday, 1987 August 30;30-08-1987
Mon. 05 05 1879;05-05-1879
1931 April 13;13-04-1931
Sunday 1964 Jan 19;19-01-1964
1944 08 13;13-08-1944
Tue. 18-12-1877;18-12-1877
Wednesday, 1951 March 21;21-03-1951
Wed 1991.07.24;24-07-1991
Wed. 1859 May. 04;04-05-1859
Friday, 10 May. 1974;10-05-1974
Tuesday, 17 Nov. 1908;17-11-1908
Monday 11 Sep. 2023;11-09-2023
Mon 25 Jun 1945;25-06-1945
Mon 08/06/2015;08-06-2015
Tuesday 2017 12 05;05-12-2017
Thursday 04 Apr. 1861;04-04-1861
Thursday 30 May. 1974;30-05-1974
19 October 1926;19-10-1926
Thu. 13 Feb. 1896;13-02-1896
Saturday, 08 May 1880;08-05-1880
Fri 1845 March 28;28-03-1845
Saturday 25 July 1964;25-07-1964
Wednesday 28 Mar. 2001;28-03-2001
Saturday 20 03 2010;20-03-2010
02 Feb 1903;02-02-1903
Wednesday, 1818 04 01;01-04-1818
Wednesday, 13 March 2002;13-03-2002
Thu 1821/11/15;15-11-1821
Sat 12.05.1928;12-05-1928
Thursday, 28/09/1911;28-09-1911
Sunday 19 October 2036;19-10-2036
Thu. 1809.02.09;09-02-1809
Tuesday, 1904 November 08;08-11-1904
Sun 1914-07-19;19-07-1914
Wed 1969.05.21;21-05-1969
Sun 21 10 1956;21-10-1956
Friday, 1834 01 31;31-01-1834
Thursday 1825 September 15;15-09-1825
Sun. 1930-12-21;21-12-1930
Tuesday 1854 May 09;09-05-1854
Monday 1840 July 20;20-07-1840
Mon 11/04/1825;11-04-1825
Monday 06 Aug 1894;06-08-1894
Sat. 2047.05.11;11-05-2047
23 Jan. 1924;23-01-1924
Tuesday, 27 Jul 1999;27-07-1999
Thu 22/02/2007;22-02-2007
Wed 06.05.1840;06-05-1840
Sun. 1971-04-25;25-04-1971
Sun. 16/03/1890;16-03-1890
Sun 18 Jul 1824;18-07-1824
Wed 1850.08.14;14-08-1850
2045-09-30;30-09-2045
Thu. 2026 December 03;03-12-2026
Friday, 04/04/1902;04-04-1902
23 March 1923;23-03-1923
Thu 1937 Apr. 29;29-04-1937
Wed. 24 06 2043;24-06-2043
Saturday, 12 04 1823;12-04-1823
Saturday, 07 Nov. 1959;07-11-1959
2015/05/14;14-05-2015
1893-03-01;01-03-1893
Tuesday, 09 Nov 2004;09-11-2004
Mon 31.08.1992;31-08-1992
Thu 28 Mar 1901;28-03-1901
Sun. 1848 August 27;27-08-1848
2023.06.30;30-06-2023
Sun 2026.01.18;18-01-2026
26 Jan 2038;26-01-2038
Sun 2003.10.05;05-10-2003
Monday 24/10/1842;24-10-1842
Tuesday, 1991 May 14;14-05-1991
Friday 1956 05 04;04-05-1956
Mon 1864 July 25;25-07-1864
Wed 1969.09.03;03-09-1969
